,Crop,N_min,N_max,P_min,P_max,K_min,K_max,Avg_Temp,Rainfall,Productivity,EUR/ha,EUR/kg,Area,Production,Production_kg
166,Arecanut,79,100,28,40,79,140,26.982916666666668,1173.12,2373.3043950081387,12185.50063604992,5.13440276,1843.0,4374.0,4374000.0
167,Arecanut,79,100,28,40,79,140,27.710416666666667,882.8499999999999,2428.011204481793,12466.387429602242,5.13440276,1785.0,4334.0,4334000.0
168,Arecanut,79,100,28,40,79,140,27.36333333333333,942.18,2921.5524360033032,15000.426890900084,5.13440276,2422.0,7076.0,7076000.0
169,Arecanut,79,100,28,40,79,140,27.84916666666666,875.7499999999999,979.6680497925312,5030.010338738589,5.13440276,2410.0,2361.0,2361000.0
170,Arecanut,79,100,28,40,79,140,25.280416666666664,1193.07,1171.5374841168996,6015.1452918932655,5.13440276,1574.0,1844.0,1844000.0
171,Arecanut,79,100,28,40,79,140,25.449166666666667,1102.02,2872.107969151671,14746.559083830336,5.13440276,1556.0,4469.0,4469000.0
172,Arecanut,79,100,28,40,79,140,25.192083333333333,1169.87,2389.5131086142324,12268.722699925096,5.13440276,1602.0,3828.0,3828000.0
173,Arecanut,79,100,28,40,79,140,25.414166666666667,1327.6799999999998,1902.264600715137,9766.9926161621,5.13440276,1678.0,3192.0,3192000.0
174,Arecanut,79,100,28,40,79,140,25.35708333333333,1455.41,2055.348258706468,10552.985772263684,5.13440276,1608.0,3305.0,3305000.0
175,Arecanut,79,100,28,40,79,140,25.757916666666667,1268.16,2013.3252574197456,10337.222758473654,5.13440276,1651.0,3324.0,3324000.0
176,Arecanut,79,100,28,40,79,140,25.347916666666663,1111.7800000000002,1893.7644341801383,9723.349337644342,5.13440276,1732.0,3280.0,3280000.0
177,Arecanut,79,100,28,40,79,140,25.727083333333333,1069.2700000000002,2028.6186020913597,10415.744949565218,5.13440276,1817.0,3686.0,3686000.0
178,Arecanut,79,100,28,40,79,140,28.335,1200.5400000000002,1875.0,9627.005175,5.13440276,8.0,15.0,15000.0
179,Arecanut,79,100,28,40,79,140,28.59708333333333,1112.91,833.3333333333334,4278.668966666667,5.13440276,18.0,15.0,15000.0
180,Arecanut,79,100,28,40,79,140,28.434999999999995,1047.9,2888.8888888888887,14832.719084444445,5.13440276,18.0,52.0,52000.0
181,Arecanut,79,100,28,40,79,140,28.549166666666665,1035.9699999999998,1750.0,8985.20483,5.13440276,20.0,35.0,35000.0
182,Arecanut,79,100,28,40,79,140,28.397916666666667,1548.1799999999998,947.3684210526316,4864.1710357894735,5.13440276,19.0,18.0,18000.0
183,Arecanut,79,100,28,40,79,140,28.993333333333336,1127.29,2111.1111111111118,10839.294715555558,5.13440276,9.0,19.0,19000.0
184,Arecanut,79,100,28,40,79,140,28.785833333333333,1059.82,833.3333333333334,4278.668966666667,5.13440276,24.0,20.0,20000.0
185,Arecanut,79,100,28,40,79,140,29.073333333333338,858.5699999999999,450.0,2310.4812420000003,5.13440276,40.0,18.0,18000.0
186,Arecanut,79,100,28,40,79,140,28.53458333333333,1248.43,2000.0,10268.805520000002,5.13440276,4.0,8.0,8000.0
187,Arecanut,79,100,28,40,79,140,29.22625,909.42,2000.0,10268.805520000002,5.13440276,1.0,2.0,2000.0
188,Arecanut,79,100,28,40,79,140,28.87916666666667,847.8799999999999,2000.0,10268.805520000002,5.13440276,1.0,2.0,2000.0
189,Arecanut,79,100,28,40,79,140,27.18125,918.2,1500.0,7701.60414,5.13440276,8.0,12.0,12000.0
190,Arecanut,79,100,28,40,79,140,27.10333333333333,1538.5000000000002,750.0,3850.80207,5.13440276,12.0,9.0,9000.0
191,Arecanut,79,100,28,40,79,140,27.05,1518.37,800.0,4107.522208,5.13440276,10.0,8.0,8000.0
192,Arecanut,79,100,28,40,79,140,26.999166666666667,1442.0200000000002,700.0,3594.081932,5.13440276,10.0,7.0,7000.0
193,Arecanut,79,100,28,40,79,140,26.835416666666667,1107.05,1000.0,5134.402760000001,5.13440276,5.0,5.0,5000.0
194,Arecanut,79,100,28,40,79,140,27.539166666666667,1037.5,1000.0,5134.402760000001,5.13440276,1.0,1.0,1000.0
195,Arecanut,79,100,28,40,79,140,26.53166666666667,1049.01,1275.974025974026,6551.364560649352,5.13440276,308.0,393.0,393000.0
196,Arecanut,79,100,28,40,79,140,26.682916666666664,1113.11,1529.2207792207791,7851.63538948052,5.13440276,308.0,471.0,471000.0
